2026-09-07 20:20:43,297 INFO    [MainThread] etl.pipeline_logger [PLOG-FILE] run log opened for dataset='PERSAT_1788787243.196089' -> logs\PERSAT_1788787243.196089.txt
2026-09-07 20:20:43,298 INFO    [MainThread] etl.module5_orchestrator [ORCH] job_id=9 start dataset='PERSAT_1788787243.196089' scenes=1 tiers=['RAW', 'BRONZE', 'SILVER', 'GOLD', 'FUSION'] log=logs\PERSAT_1788787243.196089.txt
2026-09-07 20:20:43,323 INFO    [Thread-72 (_download_worker)] etl.pipeline_logger [PLOG] {"log_id": 1, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE1_DOWNLOAD", "stage": "DOWNLOAD", "status": "STARTED", "message": "Downloading scene from ESA server", "expected_size_mb": 1.0}
2026-09-07 20:20:43,351 INFO    [Thread-72 (_download_worker)] etl.pipeline_logger [PLOG] {"log_id": 2, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE1_DOWNLOAD", "stage": "DOWNLOAD", "status": "COMPLETED", "message": "Scene downloaded successfully", "expected_size_mb": 1.0, "output_vv": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-34\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1788787243.196089\\raw\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VV.tif", "output_vh": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-34\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1788787243.196089\\raw\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VH.tif", "file_size_mb": 1.0, "checksum_md5": "00000000000000000000000000000000", "duration_seconds": 0.016, "memory_peak_mb": 199.19, "cpu_peak_percent": 0.0}
2026-09-07 20:20:43,374 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [SCENE] Registered scene_id=23 pid=S1A_IW_GRDH_TEST_20240305 acq=2024-03-05T22:50:00+00:00
2026-09-07 20:20:43,386 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Created job_id=35 scene=23 stage=DOWNLOAD attempt=1
2026-09-07 20:20:43,393 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=35 -> RUNNING
2026-09-07 20:20:43,416 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=51 scene=23 band=VV tier=RAW level=RAW source=SENTINEL1 dataset=20 file=S1A_IW_GRDH_TEST_20240305_VV.tif
2026-09-07 20:20:43,441 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=52 scene=23 band=VH tier=RAW level=RAW source=SENTINEL1 dataset=20 file=S1A_IW_GRDH_TEST_20240305_VH.tif
2026-09-07 20:20:43,449 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=35 -> SUCCESS
2026-09-07 20:20:43,457 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Created job_id=36 scene=23 stage=CROP attempt=1
2026-09-07 20:20:43,467 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=36 -> RUNNING
2026-09-07 20:20:43,474 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 3, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE1B_CALIBRATE", "stage": "CALIBRATE", "status": "STARTED", "message": "Applying radiometric calibration", "input_vv": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-34\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1788787243.196089\\raw\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VV.tif", "input_vh": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-34\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1788787243.196089\\raw\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VH.tif"}
